Date,Winning Numbers
7/27/2021,21  16
7/27/2021,32  2
7/27/2021,7  21
7/27/2021,12  12
7/27/2021,14  8
7/26/2021,23  24
7/26/2021,4  29
7/26/2021,31  5
7/26/2021,15  32
7/26/2021,23  11
7/25/2021,24  5
7/25/2021,34  6
7/25/2021,23  27
7/25/2021,8  34
7/25/2021,36  19
7/24/2021,19  13
7/24/2021,5  26
7/24/2021,30  17
7/24/2021,9  24
7/24/2021,32  5
7/23/2021,34  30
7/23/2021,5  7
7/23/2021,7  23
7/23/2021,10  29
7/23/2021,30  4
7/22/2021,9  27
7/22/2021,3  23
7/22/2021,12  36
7/22/2021,8  10
7/22/2021,23  13
7/21/2021,9  14
7/21/2021,29  22
7/21/2021,24  12
7/21/2021,14  21
7/21/2021,25  22
7/20/2021,12  29
7/20/2021,2  8
7/20/2021,26  34
7/20/2021,18  17
7/20/2021,16  21
7/19/2021,18  31
7/19/2021,9  2
7/19/2021,6  25
7/19/2021,2  1
7/19/2021,20  25
7/18/2021,26  20
7/18/2021,34  33
7/18/2021,32  32
7/18/2021,25  26
7/18/2021,29  17
7/17/2021,5  6
7/17/2021,5  36
7/17/2021,19  33
7/17/2021,9  3
7/17/2021,11  28
7/16/2021,10  2
7/16/2021,35  17
7/16/2021,12  14
7/16/2021,27  15
7/16/2021,15  1
7/15/2021,4  11
7/15/2021,35  3
7/15/2021,27  6
7/15/2021,3  2
7/15/2021,28  7
7/14/2021,2  34
7/14/2021,2  21
7/14/2021,33  7
7/14/2021,22  23
7/14/2021,17  25
7/13/2021,25  26
7/13/2021,34  9
7/13/2021,10  15
7/13/2021,1  13
7/13/2021,16  6
7/12/2021,34  29
7/12/2021,7  4
7/12/2021,11  30
7/12/2021,23  20
7/12/2021,6  2
7/11/2021,29  14
7/11/2021,8  19
7/11/2021,21  33
7/11/2021,15  13
7/11/2021,24  9
7/10/2021,14  29
7/10/2021,16  11
7/10/2021,25  11
7/10/2021,1  6
7/10/2021,16  25
7/9/2021,33  26
7/9/2021,28  2
7/9/2021,12  26
7/9/2021,31  9
7/9/2021,20  25
7/8/2021,34  23
7/8/2021,20  30
7/8/2021,26  8
7/8/2021,29  28
7/8/2021,35  3
7/7/2021,3  32
7/7/2021,31  23
7/7/2021,8  8
7/7/2021,9  31
7/7/2021,10  28
7/6/2021,34  12
7/6/2021,36  10
7/6/2021,4  17
7/6/2021,13  21
7/6/2021,34  10
7/5/2021,4  20
7/5/2021,5  9
7/5/2021,7  19
7/5/2021,13  24
7/5/2021,12  22
7/4/2021,30  25
7/4/2021,1  17
7/4/2021,14  18
7/4/2021,31  19
7/4/2021,17  23
7/3/2021,25  10
7/3/2021,20  20
7/3/2021,27  2
7/3/2021,35  16
7/3/2021,23  30
7/2/2021,31  2
7/2/2021,19  34
7/2/2021,22  20
7/2/2021,25  12
7/1/2021,36  20
7/1/2021,32  31
7/1/2021,2  5
7/1/2021,8  3
7/1/2021,33  1
6/30/2021,35  30
6/30/2021,30  18
6/30/2021,5  15
6/30/2021,17  27
6/30/2021,7  33
6/29/2021,29  10
6/29/2021,34  26
6/29/2021,35  3
6/29/2021,1  30
6/29/2021,24  4
6/28/2021,10  10
6/28/2021,34  4
6/28/2021,9  31
6/28/2021,34  26
6/28/2021,1  27
6/27/2021,21  17
6/27/2021,12  15
6/27/2021,2  12
6/27/2021,4  5
6/27/2021,27  22
6/26/2021,11  28
6/26/2021,35  14
6/26/2021,30  13
6/26/2021,34  9
6/26/2021,16  22
6/25/2021,24  1
6/25/2021,8  25
6/25/2021,30  8
6/25/2021,36  7
6/25/2021,25  11
6/24/2021,35  18
6/24/2021,31  18
6/24/2021,8  27
6/24/2021,18  29
6/24/2021,7  24
6/23/2021,24  7
6/23/2021,7  19
6/23/2021,16  17
6/23/2021,32  10
6/23/2021,30  29
6/22/2021,16  35
6/22/2021,30  21
6/22/2021,24  35
6/22/2021,11  12
6/22/2021,32  8
6/21/2021,32  24
6/21/2021,32  33
6/21/2021,15  31
6/21/2021,20  9
6/21/2021,15  35
6/20/2021,15  16
6/20/2021,11  27
6/20/2021,27  25
6/20/2021,32  3
6/20/2021,22  15
6/19/2021,13  32
6/19/2021,15  3
6/19/2021,6  7
6/19/2021,28  12
6/19/2021,22  3
6/18/2021,13  32
6/18/2021,2  5
6/18/2021,9  9
6/18/2021,17  6
6/18/2021,28  21
6/17/2021,7  25
6/17/2021,16  17
6/17/2021,21  17
6/17/2021,28  20
6/17/2021,30  28
6/16/2021,6  19
6/16/2021,34  7
6/16/2021,9  2
6/16/2021,18  11
6/16/2021,14  25
6/15/2021,28  12
6/15/2021,8  19
6/15/2021,14  29
6/15/2021,14  16
6/15/2021,5  35
6/14/2021,36  2
6/14/2021,2  26
6/14/2021,34  21
6/14/2021,16  6
6/14/2021,26  29
6/13/2021,32  19
6/13/2021,2  34
6/13/2021,4  2
6/13/2021,30  19
6/13/2021,3  19
6/12/2021,8  34
6/12/2021,34  8
6/12/2021,36  7
6/12/2021,5  2
6/12/2021,29  20
6/11/2021,11  3
6/11/2021,20  8
6/11/2021,20  20
6/11/2021,24  3
6/11/2021,22  7
6/10/2021,10  8
6/10/2021,35  27
6/10/2021,8  1
6/10/2021,32  10
6/10/2021,14  9
6/9/2021,32  14
6/9/2021,15  22
6/9/2021,3  17
6/9/2021,31  19
6/9/2021,15  18
6/8/2021,23  33
6/8/2021,18  35
6/8/2021,13  22
6/8/2021,24  32
6/8/2021,28  35
6/7/2021,15  7
6/7/2021,36  35
6/7/2021,26  6
6/7/2021,23  29
6/7/2021,8  24
6/6/2021,25  7
6/6/2021,14  14
6/6/2021,14  13
6/6/2021,21  24
6/6/2021,25  32
6/5/2021,32  15
6/5/2021,3  29
6/5/2021,8  12
6/5/2021,5  1
6/5/2021,36  12
6/4/2021,8  21
6/4/2021,5  19
6/4/2021,19  32
6/4/2021,25  34
6/4/2021,12  12
6/3/2021,17  4
6/3/2021,32  17
6/3/2021,12  12
6/3/2021,20  7
6/3/2021,26  2
6/2/2021,26  9
6/2/2021,13  27
6/2/2021,28  18
6/2/2021,23  24
6/2/2021,29  20
6/1/2021,14  29
6/1/2021,5  32
6/1/2021,8  24
6/1/2021,2  16
6/1/2021,28  22
5/31/2021,32  9
5/31/2021,13  13
5/31/2021,31  30
5/31/2021,20  31
5/31/2021,8  32
5/30/2021,7  21
5/30/2021,5  31
5/30/2021,34  15
5/30/2021,21  11
5/30/2021,23  16
5/29/2021,11  16
5/29/2021,17  1
5/29/2021,28  34
5/29/2021,11  8
5/29/2021,36  16
5/28/2021,1  34
5/28/2021,12  34
5/28/2021,14  21
5/28/2021,33  36
5/28/2021,19  21
5/27/2021,30  8
5/27/2021,29  22
5/27/2021,35  18
5/27/2021,36  26
5/27/2021,19  34
5/26/2021,26  35
5/26/2021,34  4
5/26/2021,8  7
5/26/2021,23  34
5/26/2021,19  25
5/25/2021,19  36
5/25/2021,8  35
5/25/2021,8  5
5/25/2021,16  10
5/25/2021,14  34
5/24/2021,32  16
5/24/2021,16  23
5/24/2021,24  34
5/24/2021,18  17
5/24/2021,14  9
5/23/2021,7  19
5/23/2021,29  15
5/23/2021,26  7
5/23/2021,30  14
5/23/2021,23  36
5/22/2021,33  9
5/22/2021,16  33
5/22/2021,20  4
5/22/2021,21  9
5/22/2021,34  3
5/21/2021,7  31
5/21/2021,2  22
5/21/2021,19  28
5/21/2021,26  1
5/21/2021,32  27
5/20/2021,15  9
5/20/2021,15  34
5/20/2021,31  5
5/20/2021,1  22
5/20/2021,26  20
5/19/2021,18  24
5/19/2021,26  20
5/19/2021,9  28
5/19/2021,1  14
5/19/2021,31  8
5/18/2021,25  15
5/18/2021,19  14
5/18/2021,9  11
5/18/2021,14  26
5/18/2021,33  29
5/17/2021,6  16
5/17/2021,20  26
5/17/2021,22  35
5/17/2021,10  24
5/17/2021,7  32
5/16/2021,18  32
5/16/2021,32  24
5/16/2021,22  8
5/16/2021,32  34
5/16/2021,6  8
5/15/2021,19  27
5/15/2021,10  17
5/15/2021,29  17
5/15/2021,8  32
5/15/2021,33  16
5/14/2021,25  34
5/14/2021,11  29
5/14/2021,27  7
5/14/2021,5  22
5/14/2021,6  3
5/13/2021,18  12
5/13/2021,16  7
5/13/2021,34  27
5/13/2021,12  13
5/13/2021,7  24
5/12/2021,6  34
5/12/2021,36  21
5/12/2021,16  14
5/12/2021,30  29
5/11/2021,15  15
5/11/2021,36  13
5/11/2021,21  21
5/11/2021,13  15
5/11/2021,27  25
5/10/2021,17  12
5/10/2021,35  2
5/10/2021,15  34
5/10/2021,20  32
5/10/2021,35  27
5/9/2021,30  30
5/9/2021,29  27
5/9/2021,36  35
5/9/2021,6  9
5/9/2021,24  14
5/8/2021,26  7
5/8/2021,2  33
5/8/2021,31  6
5/8/2021,9  23
5/8/2021,24  29
5/7/2021,20  22
5/7/2021,17  13
5/7/2021,16  27
5/7/2021,9  11
5/7/2021,12  30
5/6/2021,33  18
5/6/2021,5  36
5/6/2021,12  6
5/6/2021,34  5
5/6/2021,7  28
5/5/2021,33  26
5/5/2021,18  30
5/5/2021,8  3
5/5/2021,17  1
5/5/2021,12  2
5/4/2021,32  32
5/4/2021,15  30
5/4/2021,15  28
5/4/2021,3  5
5/4/2021,20  33
5/3/2021,27  9
5/3/2021,28  30
5/3/2021,30  6
5/3/2021,4  33
5/3/2021,11  8
5/2/2021,11  17
5/2/2021,11  20
5/2/2021,26  19
5/2/2021,30  27
5/2/2021,18  28
5/1/2021,27  35
5/1/2021,24  33
5/1/2021,8  21
5/1/2021,22  19
5/1/2021,10  33
4/30/2021,1  29
4/30/2021,23  16
4/30/2021,36  10
4/30/2021,1  24
4/30/2021,7  13
4/29/2021,10  10
4/29/2021,7  24
4/29/2021,33  4
4/29/2021,4  1
4/29/2021,34  3
4/28/2021,16  7
4/28/2021,26  5
4/28/2021,29  29
4/28/2021,18  27
4/28/2021,31  29
4/27/2021,9  18
4/27/2021,27  20
4/27/2021,24  11
4/27/2021,25  18
4/27/2021,33  18
4/26/2021,35  29
4/26/2021,36  6
4/26/2021,14  19
4/26/2021,30  10
4/26/2021,32  28
4/25/2021,28  3
4/25/2021,35  29
4/25/2021,14  25
4/25/2021,31  12
4/25/2021,12  24
4/24/2021,19  21
4/24/2021,10  31
4/24/2021,8  28
4/24/2021,14  19
4/24/2021,11  24
4/23/2021,31  25
4/23/2021,25  1
4/23/2021,15  6
4/23/2021,7  31
4/23/2021,30  14
4/22/2021,9  4
4/22/2021,18  26
4/22/2021,7  6
4/22/2021,7  29
4/22/2021,6  7
4/21/2021,35  22
4/21/2021,7  26
4/21/2021,17  4
4/21/2021,26  27
4/21/2021,35  35
4/20/2021,27  11
4/20/2021,28  19
4/20/2021,36  18
4/20/2021,8  35
4/20/2021,22  1
4/19/2021,7  19
4/19/2021,19  18
4/19/2021,35  26
4/19/2021,22  20
4/18/2021,9  24
4/18/2021,21  31
4/18/2021,25  23
4/18/2021,35  24
4/18/2021,22  6
4/17/2021,27  22
4/17/2021,30  5
4/17/2021,29  7
4/17/2021,2  20
4/17/2021,19  15
4/16/2021,30  7
4/16/2021,19  20
4/16/2021,36  20
4/16/2021,28  36
4/16/2021,28  3
4/15/2021,3  11
4/15/2021,5  15
4/15/2021,34  26
4/15/2021,24  25
4/15/2021,29  7
4/14/2021,35  9
4/14/2021,25  21
4/14/2021,32  11
4/14/2021,20  22
4/14/2021,26  20
4/13/2021,13  1
4/13/2021,32  35
4/13/2021,24  7
4/13/2021,25  21
4/13/2021,12  26
4/12/2021,15  23
4/12/2021,35  12
4/12/2021,27  9
4/12/2021,4  6
4/12/2021,35  8
4/11/2021,3  20
4/11/2021,34  13
4/11/2021,13  19
4/11/2021,7  11
4/11/2021,32  9
4/10/2021,29  10
4/10/2021,15  9
4/10/2021,4  35
4/10/2021,11  3
4/10/2021,13  27
4/9/2021,19  21
4/9/2021,6  7
4/9/2021,31  2
4/9/2021,5  10
4/9/2021,20  10
4/8/2021,25  15
4/8/2021,7  5
4/8/2021,4  6
4/8/2021,20  26
4/8/2021,9  35
4/7/2021,15  11
4/7/2021,32  30
4/7/2021,28  35
4/7/2021,14  12
4/7/2021,11  18
4/6/2021,31  3
4/6/2021,3  5
4/6/2021,7  27
4/6/2021,20  28
4/6/2021,22  6
4/5/2021,32  9
4/5/2021,12  16
4/5/2021,35  21
4/5/2021,4  23
4/5/2021,32  1
4/4/2021,28  5
4/4/2021,2  19
4/4/2021,27  28
4/4/2021,6  19
4/4/2021,29  28
4/3/2021,29  5
4/3/2021,29  27
4/3/2021,18  20
4/3/2021,3  16
4/3/2021,34  6
4/1/2021,28  17
4/1/2021,31  27
4/1/2021,12  10
4/1/2021,13  3
4/1/2021,34  31
3/31/2021,17  11
3/31/2021,23  24
3/31/2021,10  4
3/31/2021,25  5
3/31/2021,10  4
3/30/2021,2  32
3/30/2021,21  2
3/30/2021,8  5
3/30/2021,27  2
3/30/2021,6  9
3/29/2021,2  24
3/29/2021,28  33
3/29/2021,9  23
3/29/2021,28  24
3/29/2021,34  14
3/28/2021,18  21
3/28/2021,4  17
3/28/2021,14  25
3/28/2021,31  6
3/28/2021,35  33
3/27/2021,35  13
3/27/2021,6  29
3/27/2021,36  36
3/27/2021,8  35
3/27/2021,32  30
3/26/2021,34  9
3/26/2021,15  7
3/26/2021,27  16
3/26/2021,24  31
3/26/2021,27  11
3/25/2021,29  19
3/25/2021,4  18
3/25/2021,14  6
3/25/2021,3  15
3/25/2021,31  3
3/24/2021,18  9
3/24/2021,3  28
3/24/2021,4  9
3/24/2021,16  9
3/24/2021,25  17
3/23/2021,7  2
3/23/2021,17  8
3/23/2021,7  12
3/23/2021,7  15
3/23/2021,5  28
3/22/2021,12  26
3/22/2021,34  8
3/22/2021,9  4
3/22/2021,28  36
3/22/2021,1  26
3/21/2021,6  5
3/21/2021,18  17
3/21/2021,14  13
3/21/2021,30  1
3/21/2021,33  35
3/20/2021,6  2
3/20/2021,20  13
3/20/2021,9  18
3/20/2021,32  36
3/20/2021,33  30
3/19/2021,23  32
3/19/2021,5  18
3/19/2021,9  7
3/19/2021,26  8
3/19/2021,18  25
3/18/2021,24  8
3/18/2021,19  26
3/18/2021,33  16
3/18/2021,32  15
3/18/2021,32  3
3/17/2021,29  29
3/17/2021,34  9
3/17/2021,4  6
3/17/2021,6  27
3/17/2021,31  24
3/16/2021,17  32
3/16/2021,12  18
3/16/2021,11  15
3/16/2021,15  32
3/16/2021,30  4
3/15/2021,16  30
3/15/2021,30  10
3/15/2021,26  25
3/15/2021,21  18
3/15/2021,33  30
3/14/2021,35  16
3/14/2021,4  20
3/14/2021,23  1
3/14/2021,22  30
3/14/2021,19  17
3/13/2021,6  4
3/13/2021,4  19
3/13/2021,22  32
3/13/2021,35  13
3/13/2021,26  34
3/12/2021,21  30
3/12/2021,2  28
3/12/2021,25  33
3/12/2021,28  12
3/12/2021,7  32
3/11/2021,32  12
3/11/2021,18  4
3/11/2021,22  10
3/11/2021,30  29
3/11/2021,2  19
3/10/2021,7  16
3/10/2021,19  10
3/10/2021,35  30
3/10/2021,7  7
3/10/2021,33  32
3/9/2021,21  31
3/9/2021,23  34
3/9/2021,34  28
3/9/2021,12  22
3/9/2021,5  35
3/8/2021,23  32
3/8/2021,13  31
3/8/2021,5  24
3/8/2021,6  19
3/8/2021,28  21
3/7/2021,20  35
3/7/2021,35  36
3/7/2021,31  15
3/7/2021,10  9
3/7/2021,30  33
3/6/2021,17  22
3/6/2021,24  17
3/6/2021,13  20
3/6/2021,4  13
3/6/2021,14  6
3/5/2021,17  28
3/5/2021,34  19
3/5/2021,31  10
3/5/2021,33  34
3/5/2021,20  12
3/4/2021,18  18
3/4/2021,31  5
3/4/2021,15  2
3/4/2021,26  28
3/4/2021,26  7
3/3/2021,12  24
3/3/2021,19  19
3/3/2021,32  2
3/3/2021,17  30
3/3/2021,24  13
3/2/2021,12  5
3/2/2021,1  10
3/2/2021,24  2
3/2/2021,4  17
3/2/2021,32  19
3/1/2021,34  9
3/1/2021,29  28
3/1/2021,24  20
3/1/2021,27  2
3/1/2021,15  32
2/28/2021,13  29
2/28/2021,5  11
2/28/2021,13  15
2/28/2021,15  17
2/28/2021,3  30
2/27/2021,35  6
2/27/2021,24  35
2/27/2021,2  35
2/27/2021,11  6
2/27/2021,22  34
2/26/2021,6  35
2/26/2021,17  23
2/26/2021,26  18
2/26/2021,23  23
2/26/2021,34  26
2/25/2021,30  7
2/25/2021,12  18
2/25/2021,11  7
2/25/2021,10  35
2/25/2021,17  8
2/24/2021,9  32
2/24/2021,26  6
2/24/2021,35  31
2/24/2021,2  33
2/24/2021,21  31
2/23/2021,29  24
2/23/2021,32  5
2/23/2021,30  24
2/23/2021,7  23
2/23/2021,23  32
2/22/2021,35  26
2/22/2021,13  25
2/22/2021,16  21
2/22/2021,23  22
2/22/2021,29  15
2/21/2021,33  36
2/21/2021,34  17
2/21/2021,5  23
2/21/2021,33  2
2/21/2021,16  33
2/20/2021,25  8
2/20/2021,7  31
2/20/2021,17  33
2/20/2021,10  14
2/20/2021,32  22
2/19/2021,34  12
2/19/2021,36  33
2/19/2021,21  3
2/19/2021,8  13
2/19/2021,6  21
2/18/2021,21  21
2/18/2021,31  35
2/18/2021,22  4
2/18/2021,2  4
2/18/2021,35  33
2/17/2021,29  36
2/17/2021,5  36
2/17/2021,31  24
2/17/2021,18  12
2/17/2021,35  7
2/16/2021,34  2
2/16/2021,22  36
2/16/2021,14  22
2/16/2021,5  18
2/16/2021,31  32
2/15/2021,35  31
2/15/2021,34  2
2/15/2021,22  27
2/15/2021,29  6
2/15/2021,6  17
2/14/2021,36  32
2/14/2021,4  21
2/14/2021,15  36
2/14/2021,20  20
2/14/2021,18  5
2/13/2021,31  7
2/13/2021,1  23
2/13/2021,8  9
2/13/2021,36  2
2/13/2021,32  29
2/12/2021,17  17
2/12/2021,6  15
2/12/2021,4  5
2/12/2021,19  30
2/12/2021,11  12
2/11/2021,24  17
2/11/2021,5  31
2/11/2021,19  3
2/11/2021,29  15
2/11/2021,32  12
2/10/2021,35  36
2/10/2021,31  10
2/10/2021,19  9
2/10/2021,4  34
2/10/2021,21  24
2/9/2021,21  7
2/9/2021,35  35
2/9/2021,11  23
2/9/2021,7  19
2/9/2021,12  22
2/8/2021,25  14
2/8/2021,2  15
2/8/2021,16  16
2/8/2021,15  30
2/8/2021,12  22
2/7/2021,34  29
2/7/2021,20  26
2/7/2021,13  12
2/7/2021,2  1
2/7/2021,9  5
2/6/2021,12  4
2/6/2021,36  21
2/6/2021,24  30
2/6/2021,4  18
2/6/2021,19  29
2/5/2021,2  20
2/5/2021,5  33
2/5/2021,34  8
2/5/2021,33  22
2/5/2021,4  19
2/4/2021,24  22
2/4/2021,35  35
2/4/2021,27  28
2/4/2021,14  33
2/4/2021,24  8
2/3/2021,29  15
2/3/2021,4  10
2/3/2021,10  22
2/3/2021,6  20
2/3/2021,24  5
2/2/2021,35  32
2/2/2021,4  30
2/2/2021,18  35
2/2/2021,12  25
2/2/2021,27  28
2/1/2021,14  7
2/1/2021,31  36
2/1/2021,34  22
2/1/2021,20  35
2/1/2021,14  24
1/31/2021,21  2
1/31/2021,22  14
1/31/2021,26  14
1/31/2021,18  11
1/31/2021,35  23
1/30/2021,14  32
1/30/2021,18  26
1/30/2021,22  1
1/30/2021,7  25
1/30/2021,4  16
1/29/2021,36  10
1/29/2021,19  30
1/29/2021,30  26
1/29/2021,12  23
1/29/2021,1  32
1/28/2021,8  12
1/28/2021,5  11
1/28/2021,14  13
1/28/2021,4  7
1/28/2021,7  33
1/27/2021,33  9
1/27/2021,16  21
1/27/2021,27  6
1/27/2021,9  6
1/27/2021,16  2
1/26/2021,12  9
1/26/2021,36  21
1/26/2021,29  16
1/26/2021,20  7
1/26/2021,19  12
1/25/2021,23  6
1/25/2021,7  35
1/25/2021,28  12
1/25/2021,6  23
1/25/2021,22  12
1/24/2021,4  33
1/24/2021,11  35
1/24/2021,11  21
1/24/2021,8  10
1/24/2021,10  31
1/23/2021,31  1
1/23/2021,15  25
1/23/2021,36  4
1/23/2021,32  16
1/23/2021,18  1
1/22/2021,3  4
1/22/2021,29  1
1/22/2021,6  3
1/22/2021,17  1
1/22/2021,16  36
1/21/2021,7  12
1/21/2021,15  19
1/21/2021,16  11
1/21/2021,9  15
1/21/2021,35  29
1/20/2021,22  3
1/20/2021,1  29
1/20/2021,14  31
1/20/2021,15  15
1/20/2021,3  13
1/19/2021,27  18
1/19/2021,7  27
1/19/2021,30  15
1/19/2021,1  15
1/19/2021,22  6
1/18/2021,11  36
1/18/2021,17  16
1/18/2021,23  24
1/18/2021,17  18
1/18/2021,8  15
1/17/2021,35  24
1/17/2021,22  13
1/17/2021,15  8
1/17/2021,28  16
1/17/2021,29  4
1/16/2021,27  14
1/16/2021,4  8
1/16/2021,21  6
1/16/2021,19  13
1/16/2021,36  28
1/15/2021,9  31
1/15/2021,18  3
1/15/2021,10  24
1/15/2021,16  18
1/15/2021,7  34
1/14/2021,8  29
1/14/2021,15  27
1/14/2021,25  8
1/14/2021,32  33
1/14/2021,11  27
1/13/2021,30  34
1/13/2021,36  24
1/13/2021,17  21
1/13/2021,19  2
1/13/2021,25  23
1/12/2021,24  11
1/12/2021,8  7
1/12/2021,2  30
1/12/2021,26  28
1/12/2021,13  11
1/11/2021,36  29
1/11/2021,3  17
1/11/2021,35  18
1/11/2021,4  29
1/11/2021,30  7
1/10/2021,7  9
1/10/2021,17  5
1/10/2021,36  34
1/10/2021,20  10
1/10/2021,8  32
1/9/2021,28  23
1/9/2021,13  21
1/9/2021,5  27
1/9/2021,30  29
1/9/2021,22  2
1/8/2021,15  14
1/8/2021,20  20
1/8/2021,21  9
1/8/2021,20  22
1/8/2021,2  1
1/7/2021,27  10
1/7/2021,23  4
1/7/2021,18  24
1/7/2021,21  5
1/7/2021,7  32
1/6/2021,28  25
1/6/2021,15  1
1/6/2021,6  16
1/6/2021,5  24
1/6/2021,35  26
1/5/2021,35  16
1/5/2021,9  10
1/5/2021,7  14
1/5/2021,20  20
1/5/2021,24  15
1/4/2021,2  15
1/4/2021,36  1
1/4/2021,23  6
1/4/2021,29  23
1/4/2021,21  32
1/3/2021,18  33
1/3/2021,18  23
1/3/2021,21  18
1/3/2021,24  32
1/3/2021,6  16
1/2/2021,20  21
1/2/2021,19  27
1/2/2021,35  18
1/2/2021,1  21
1/2/2021,25  25
1/1/2021,18  22
1/1/2021,16  36
1/1/2021,3  17
1/1/2021,30  3
1/1/2021,19  12
12/31/2020,2  19
12/31/2020,20  8
12/31/2020,27  19
12/31/2020,13  11
12/31/2020,32  18
12/30/2020,21  5
12/30/2020,31  2
12/30/2020,13  7
12/30/2020,34  7
12/30/2020,15  21
12/29/2020,29  4
12/29/2020,34  21
12/29/2020,17  32
12/29/2020,5  32
12/29/2020,14  17
12/28/2020,25  30
12/28/2020,14  9
12/28/2020,20  12
12/28/2020,23  29
12/28/2020,35  6
12/27/2020,27  9
12/27/2020,36  6
12/27/2020,12  16
12/27/2020,25  27
12/27/2020,34  11
12/26/2020,23  22
12/26/2020,27  17
12/26/2020,13  12
12/26/2020,32  35
12/26/2020,5  20
12/24/2020,13  36
12/24/2020,34  22
12/24/2020,13  22
12/24/2020,28  14
12/24/2020,28  14
12/23/2020,25  1
12/23/2020,5  36
12/23/2020,1  6
12/23/2020,11  3
12/23/2020,16  28
12/22/2020,33  33
12/22/2020,7  25
12/22/2020,7  20
12/22/2020,32  20
12/22/2020,28  33
12/21/2020,19  3
12/21/2020,2  20
12/21/2020,11  9
12/21/2020,36  3
12/21/2020,26  11
12/20/2020,35  30
12/20/2020,7  13
12/20/2020,32  35
12/20/2020,13  13
12/20/2020,2  34
12/19/2020,18  10
12/19/2020,14  18
12/19/2020,31  6
12/19/2020,31  11
12/19/2020,29  15
12/18/2020,31  22
12/18/2020,24  8
12/18/2020,16  6
12/18/2020,12  8
12/18/2020,5  25
12/17/2020,16  14
12/17/2020,31  32
12/17/2020,7  1
12/17/2020,26  30
12/17/2020,34  23
12/16/2020,25  29
12/16/2020,11  22
12/16/2020,30  13
12/16/2020,10  9
12/16/2020,7  20
12/15/2020,32  19
12/15/2020,34  16
12/15/2020,27  3
12/15/2020,11  33
12/15/2020,22  2
12/14/2020,6  3
12/14/2020,26  27
12/14/2020,15  4
12/14/2020,9  5
12/14/2020,21  26
12/13/2020,8  7
12/13/2020,12  16
12/13/2020,35  32
12/13/2020,12  32
12/13/2020,29  9
12/12/2020,11  36
12/12/2020,34  6
12/12/2020,24  6
12/12/2020,23  34
12/12/2020,11  36
12/11/2020,14  7
12/11/2020,28  15
12/11/2020,20  23
12/11/2020,13  31
12/11/2020,10  17
12/10/2020,1  25
12/10/2020,19  21
12/10/2020,23  26
12/10/2020,5  23
12/10/2020,22  35
12/9/2020,14  15
12/9/2020,1  26
12/9/2020,15  5
12/9/2020,26  11
12/9/2020,11  25
12/8/2020,5  1
12/8/2020,4  4
12/8/2020,21  20
12/8/2020,27  22
12/8/2020,36  14
12/7/2020,1  5
12/7/2020,13  36
12/7/2020,33  1
12/7/2020,30  5
12/7/2020,21  24
12/6/2020,1  35
12/6/2020,3  35
12/6/2020,3  3
12/6/2020,21  23
12/6/2020,12  9
12/5/2020,2  24
12/5/2020,18  29
12/5/2020,21  6
12/5/2020,6  26
12/5/2020,3  32
12/4/2020,15  20
12/4/2020,2  4
12/4/2020,5  19
12/4/2020,29  5
12/4/2020,29  19
12/3/2020,34  7
12/3/2020,26  15
12/3/2020,31  18
12/3/2020,24  27
12/3/2020,6  31
12/2/2020,15  26
12/2/2020,36  1
12/2/2020,21  29
12/2/2020,17  25
12/2/2020,22  32
12/1/2020,27  23
12/1/2020,28  7
12/1/2020,20  21
12/1/2020,13  30
12/1/2020,22  34
11/30/2020,3  19
11/30/2020,3  24
11/30/2020,14  8
11/30/2020,29  32
11/30/2020,28  8
11/29/2020,1  7
11/29/2020,24  23
11/29/2020,18  29
11/29/2020,12  3
11/29/2020,14  9
11/28/2020,14  8
11/28/2020,22  17
11/28/2020,28  34
11/28/2020,2  31
11/28/2020,8  34
11/27/2020,15  22
11/27/2020,14  36
11/27/2020,22  28
11/27/2020,24  33
11/27/2020,1  7
11/26/2020,3  29
11/26/2020,30  11
11/26/2020,10  1
11/26/2020,17  25
11/26/2020,10  27
11/25/2020,17  22
11/25/2020,36  11
11/25/2020,13  23
11/25/2020,8  36
11/25/2020,33  12
11/24/2020,5  22
11/24/2020,29  1
11/24/2020,27  30
11/24/2020,17  15
11/24/2020,27  24
11/23/2020,34  25
11/23/2020,5  17
11/23/2020,5  12
11/23/2020,2  23
11/23/2020,28  21
11/22/2020,7  8
11/22/2020,34  7
11/22/2020,27  13
11/22/2020,5  22
11/22/2020,23  7
11/21/2020,3  10
11/21/2020,31  14
11/21/2020,21  21
11/21/2020,15  4
11/21/2020,15  9
11/20/2020,12  18
11/20/2020,17  16
11/20/2020,15  19
11/20/2020,9  6
11/20/2020,10  28
11/19/2020,12  14
11/19/2020,21  13
11/19/2020,22  31
11/19/2020,31  20
11/19/2020,32  19
11/18/2020,18  13
11/18/2020,7  23
11/18/2020,36  32
11/18/2020,7  17
11/18/2020,17  5
11/17/2020,23  19
11/17/2020,5  3
11/17/2020,12  26
11/17/2020,25  7
11/17/2020,13  21
11/16/2020,21  1
11/16/2020,13  22
11/16/2020,32  33
11/16/2020,32  19
11/16/2020,2  18
11/15/2020,25  14
11/15/2020,36  7
11/15/2020,26  24
11/15/2020,32  14
11/15/2020,34  8
11/14/2020,20  21
11/14/2020,35  18
11/14/2020,8  19
11/14/2020,1  13
11/14/2020,29  18
11/13/2020,23  29
11/13/2020,1  19
11/13/2020,25  18
11/13/2020,2  11
